id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28300575,Your Cosy hideaway in Munich,33999317,Damian,,Sendling,48.10856,11.53725,Private room,50,2,150,2020-09-20,4.87,1,0
28308855,München Einliegerwohnung,134907803,Roman,,Moosach,48.18369,11.49819,Private room,35,1,4,2019-12-04,0.13,1,75
28311634,Wohnung 1 Zi Apart. plug&play all incl,33504639,Nadine,,Ramersdorf-Perlach,48.11622,11.61316,Entire home/apt,280,90,1,2019-04-12,0.04,1,178
28325220,Cosy 2 room apartment,22747651,Bernhard,,Altstadt-Lehel,48.14743,11.59402,Private room,140,3,1,2018-09-28,0.03,1,178
28326259,Double room with balcony by Munich city centre!,11898045,Marie,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10259,11.54064,Private room,100,1,0,,,2,269
28328375,Schöne 1-Zimmerwohnung zum zweiten Wiesnwochenende,209200596,Kristina,,Untergiesing-Harlaching,48.10681,11.56408,Entire home/apt,200,2,0,,,1,87
28330897,München zentrale privates Zimmer!,208355492,,,Laim,48.14308,11.50796,Private room,50,1,2,2018-10-03,0.06,2,89
28331852,Gemütliche Wohnung am Olympiapark,16631518,Julia,,Schwabing-West,48.16621,11.55622,Private room,42,2,67,2020-10-31,2.22,1,0
28333311,gemütliche 1 1/2 Zimmer Wohnung,41089941,Christine,,Allach-Untermenzing,48.18206,11.48608,Entire home/apt,40,7,0,,,6,0
28335757,Eigenes Zimmer in einer 2 Zimmer Wohnung.,212044784,Antonio,,Pasing-Obermenzing,48.1366,11.45412,Private room,299,1,0,,,1,180
28338352,Lovely 40qm room with private rooftop terrace!,41046461,Max,,Bogenhausen,48.15018,11.6047,Private room,66,1,15,2019-09-15,0.48,1,356
28339025,Gemütliche Wohnung im Herzen Schwabings,11477831,Wiebke,,Maxvorstadt,48.15379,11.57795,Entire home/apt,130,3,0,,,1,88
28339974,Beautiful central room near the Oktoberfest,151624078,Paula,,Au-Haidhausen,48.12348,11.5773,Private room,110,4,1,2019-09-24,0.05,1,179
28348434,Bright 1-room-apt. with perfect public connection,214051670,Thorsten,,Maxvorstadt,48.1533,11.56479,Entire home/apt,103,2,19,2020-03-05,0.63,1,0
28352067,Very central modern flat (3 km to oktoberfest),132622029,,,Maxvorstadt,48.15408,11.57282,Entire home/apt,58,3,17,2020-09-29,0.64,1,340
28352231,Oktoberfest-Zimmer zu vermieten!,14779679,Nike,,Schwanthalerhöhe,48.13509,11.54282,Private room,150,3,0,,,1,358
28355196,Stylish Room near Oktoberfest,214090056,Lennart,,Schwabing-West,48.16084,11.57641,Private room,1000,1,2,2018-09-30,0.07,1,180
28364414,Reiheneckhaus nah am Olympiapark,18800968,Hewad,,Feldmoching-Hasenbergl,48.19432,11.54575,Entire home/apt,1200,2,0,,,1,0
28375958,Privatzimmer mit Bad und Garage in Haidhausen,14542943,Hanny,,Au-Haidhausen,48.13283,11.60669,Private room,100,1,13,2019-08-10,0.45,1,179
28381149,Privatzimmer im grünen Süden Münchens,214256320,Ana Catalina,,Obergiesing,48.08792,11.60992,Private room,39,1,57,2019-10-13,1.84,1,0
28387141,2-room apartment near Marienplatz,18472267,Victor,,Maxvorstadt,48.14493,11.57383,Entire home/apt,175,1,11,2019-09-30,0.36,1,0
28394351,Schöne 2 Zimmer Wohnung 20 min zur Wiesn,88790902,Nico,,Allach-Untermenzing,48.18325,11.47714,Entire home/apt,249,2,8,2019-10-06,0.26,1,181
28399470,Big quiet room near underground station.,214403053,Igor,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09578,11.47842,Private room,60,1,8,2019-05-17,0.26,2,90
28400783,"schöne, moderne  Maisonette Wohnung in Sendling",28952598,Lukas,,Sendling,48.11341,11.55277,Entire home/apt,850,1,2,2019-01-19,0.08,1,88
28407667,Elegant apartment in the centre of Munich,24888791,Dali,,Maxvorstadt,48.15442,11.5656,Entire home/apt,50,15,8,2019-09-22,0.26,1,0
28424185,Privatzimmer mit eigenem Bad in einem Reihenhaus,112650711,Nina,,Moosach,48.18192,11.52801,Private room,60,5,1,2018-09-30,0.03,1,87
28428203,Comfortable Room near City Center ( < 20 mins),40933717,Ahmed,,Sendling-Westpark,48.11012,11.52781,Private room,90,1,8,2019-09-29,0.26,2,365
28428610,Cozy & light-flooded apartment with balcony,214612810,Beate,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08741,11.49584,Entire home/apt,82,2,2,2018-09-20,0.07,1,0
28434338,München Schwabing ganzes Apartment,29215524,Mimi,,Schwabing-West,48.16718,11.56306,Entire home/apt,64,2,12,2019-12-01,0.39,1,32
28448562,※ EDDY's Rest & Relax ※ CASUAL ※ Trendy ※ Pasing ※,7901771,Thomas,,Pasing-Obermenzing,48.14585,11.46404,Entire home/apt,99,1,37,2020-10-30,1.22,14,120
28448790,Ein Zimmer fürs Oktoberfest- Bedienung only (w/m)),214761220,Moritz,,Sendling,48.12357,11.54294,Entire home/apt,125,7,1,2019-04-14,0.04,1,363
28448860,Family-A    2-BedR / 3Zi-Apart Munich Center,214761589,Yousri,,Ludwigsvorstadt-Isarvorstadt,48.13763,11.56181,Entire home/apt,220,3,12,2020-11-01,0.42,3,39
28449403,Schwanthaler 1-BedR / 2-Zi_Apart Munich Center,130433278,Yfliss,,Ludwigsvorstadt-Isarvorstadt,48.13823,11.5521,Entire home/apt,240,1,9,2019-06-10,0.30,8,39
28451442,Kleines Privatzimmer in zentraler Lage,214775123,Sarah Und Sebastian,,Sendling-Westpark,48.11858,11.51676,Private room,72,12,0,,,2,363
28454811,Heart of Munich appartement,21602493,Ahmed,,Altstadt-Lehel,48.14079,11.57177,Entire home/apt,130,2,30,2020-10-13,0.99,1,88
28456279,Light-flooded home for 6 people; Park in vicinity,214809575,Jonathan,,Schwabing-West,48.16841,11.56175,Entire home/apt,79,2,8,2019-12-30,0.26,1,0
28457056,München Haus,31410913,,,Milbertshofen-Am Hart,48.20209,11.57383,Private room,65,1,11,2019-10-06,0.36,2,365
28459133,Private apartment near to Center,150903172,Fatih,,Laim,48.14059,11.50896,Entire home/apt,41,45,0,,,1,0
28462873,"Breakfast,  big living room, 2 bedrooms",212841527,Reinhard,,Maxvorstadt,48.15383,11.57522,Private room,280,2,5,2019-07-06,0.17,2,81
28463511,Small cosy apartment in Neuhausen,111115826,Brigitte & Jörg,,Neuhausen-Nymphenburg,48.16091,11.54031,Entire home/apt,133,2,6,2019-01-31,0.20,6,0
28479891,"Loft with roof terrace, central & close to a park",20728358,Anna,,Pasing-Obermenzing,48.14548,11.4703,Entire home/apt,42,1,33,2019-09-26,1.08,2,179
28480101,THE PERFECT PLACE FOR ART LOVERS,214979960,Max,,Maxvorstadt,48.15118,11.57266,Entire home/apt,156,2,5,2018-12-22,0.16,1,0
28486524,Comfy room in Munich,30954366,Melanie&Julian,,Ludwigsvorstadt-Isarvorstadt,48.12595,11.55771,Private room,119,1,6,2018-11-17,0.20,1,364
28488117,"Ruhiges schlafen, mitten in München. (1 Zimmer)",215022555,Chantal,,Sendling-Westpark,48.1113,11.52781,Private room,50,2,11,2019-10-04,0.36,1,269
28491969,Oktoberfest Dorm,34254462,Sara,,Hadern,48.12255,11.49229,Private room,35,2,0,,,1,89
28503054,Beautiful bright apartment - Haidhausen,8403800,Sophia,,Au-Haidhausen,48.12332,11.58825,Entire home/apt,195,2,7,2019-10-07,0.23,1,269
28503908,Gemütliches Zimmer Munich - 10 min zum Oktoberfest,23105185,Fabi,,Sendling,48.11459,11.54674,Private room,85,1,4,2019-10-06,0.13,1,89
28504868,Quiet room - 10 min walk to Oktoberfest,215152805,Mika,,Ludwigsvorstadt-Isarvorstadt,48.12916,11.56458,Private room,120,2,8,2019-09-29,0.26,1,90
28505143,Family-K  1-BedR / 2-Zi Apart Munich Center,214761589,Yousri,,Ludwigsvorstadt-Isarvorstadt,48.13882,11.56132,Entire home/apt,200,3,4,2020-07-14,0.13,3,39
